t sigma_z_10 sigma_z_20 sigma_z_30 sigma_z_40
7.695390781563126 0.16035795913035183 0.027048155772015373 0.012163793680332382 0.02653476845582063
7.755511022044088 0.1634178933008223 0.02614598541667608 0.0129338947612916 0.026379377577512218
7.8156312625250495 0.16600855667351708 0.025339960104128277 0.013611112687530295 0.025619100999833465
7.875751503006012 0.16789303565383268 0.024480018736075276 0.013959929090069517 0.02430625045885803
7.935871743486974 0.16922790491234085 0.02306399287782749 0.013860867777347198 0.022330720034985763
7.995991983967936 0.17022224893596805 0.021464942560467017 0.012922273149024707 0.019816661922097904
8.056112224448897 0.17083403638394973 0.01963178932638742 0.011288384700217258 0.017299079960614562
8.11623246492986 0.17107254561801907 0.017769715817689335 0.008945552344764806 0.014181676164852998
8.176352705410821 0.1708080184792944 0.015263124362441056 0.006291266925639062 0.010837113607214633
8.236472945891784 0.17044720748481318 0.012174902537697263 0.0030315900877635714 0.006852096626506076
8.296593186372744 0.16989337957696507 0.008595368912059899 -0.0003378771260713818 0.0028106936163507117
8.356713426853707 0.16924982167704944 0.004951195998280606 -0.00403627176774742 -0.0013897010261966962
8.41683366733467 0.1684749108873564 0.001122231831304078 -0.00837408434199209 -0.005743788378904137
8.47695390781563 0.16744500812318716 -0.0030605049409959378 -0.01304261829086293 -0.010039817066209815
8.537074148296593 0.16612267362989358 -0.007211529317507549 -0.01781005847922001 -0.014822577526438022
8.597194388777554 0.1649072884479035 -0.011640242262364575 -0.022404054862880957 -0.019424452157481602
8.657314629258517 0.16365324393117342 -0.01597087759425185 -0.02706251271452314 -0.024265928008189178
8.71743486973948 0.16230969108252574 -0.01992736978837385 -0.03168441982347766 -0.02892554535389916
8.77755511022044 0.16063955920315048 -0.023915453096548214 -0.03595929800663455 -0.03357191967000726
8.837675350701403 0.15878667996291448 -0.027693614098595703 -0.040057413697376525 -0.03822247407358604
8.897795591182364 0.1568048865289354 -0.031452921226322775 -0.04431383045616574 -0.04248897309784976
8.957915831663327 0.15481258769447992 -0.03501626011164155 -0.048485990894966656 -0.046437454760773086
9.018036072144287 0.15296356530751892 -0.038298875158265355 -0.05220916404189425 -0.05033920704684503
9.07815631262525 0.15166013461102912 -0.04117664252001846 -0.055886904421741886 -0.054177170434519396
9.138276553106213 0.15094844015265024 -0.04349462507360139 -0.05932701585261777 -0.057847867166364066
9.198396793587174 0.15046146823585524 -0.0451681558180021 -0.06260537357039467 -0.0611699324189128
9.258517034068136 0.15029652124831988 -0.04648479676628963 -0.06575908953294418 -0.06420526152626455
9.318637274549097 0.15075604798860606 -0.047604601194914296 -0.06851486260892685 -0.06708745206257233
9.37875751503006 0.15117106458029148 -0.048702313919987576 -0.07106462565113797 -0.06985423470938398
9.438877755511022 0.15211827471098988 -0.049721471907159 -0.07309089108938152 -0.0722975070569872
9.498997995991983 0.15356133146556117 -0.050544064974775704 -0.07482697201952221 -0.07458672049998158
9.559118236472946 0.1549149654811425 -0.05103695203300957 -0.07611684513865295 -0.0765039323902962
9.619238476953907 0.15620583970310487 -0.051102374162046826 -0.0770798425845695 -0.07811951786892919
9.67935871743487 0.15743629258788902 -0.051078699122383664 -0.07769949083475426 -0.0791389496635009
9.739478957915832 0.15883974129789566 -0.051003185547919654 -0.0781171181793679 -0.07973362290606525
9.799599198396793 0.15971939646638714 -0.05064851801616465 -0.07829954168565366 -0.0801739004054925
9.859719438877756 0.16067500497354978 -0.050029860305118246 -0.07810156201931877 -0.08007876199594113
9.919839679358716 0.161979042840926 -0.049441211002944796 -0.07779874713940381 -0.07994739818579696
9.97995991983968 0.16329785452335308 -0.048895635415618276 -0.07749227877661236 -0.07972110199696725
10.040080160320642 0.16412305375963457 -0.04799264455630402 -0.07777921223145472 -0.07920931252797167
10.100200400801603 0.16450154107007584 -0.04691030513783093 -0.0782576794673865 -0.07899563773987554
10.160320641282565 0.16534067741783917 -0.045990665769575216 -0.07859818513598738 -0.07890312381989613
10.220440881763526 0.1664078669305314 -0.045345664611045194 -0.07934493294570882 -0.07928204293416674
10.280561122244489 0.1671207625981733 -0.044471949688221164 -0.08009834750877655 -0.0793832084169359
10.34068136272545 0.1677293642109438 -0.04394861767086224 -0.08111205415034818 -0.07954829098635992
