t sigma_zs_1em3 max_bond_dim_1em3 sigma_zs_1em4 max_bond_dim_1em4 sigma_zs_1em5 max_bond_dim_1em5 
4.122748498999333 -0.11216924675361413 3.0523 -0.11823990021453323 4.0005 -0.12325898794583691 5.9987 
4.142761841227485 -0.10260296413666962 3.0528 -0.1087256834251134 4.0005 -0.1142450454008532 5.9988 
4.162775183455637 -0.09379016384681395 3.0531 -0.09995619178707182 4.0005 -0.10594628505546641 5.9988 
4.182788525683789 -0.08494380053956213 3.0534 -0.091437634331067 4.0005 -0.09713860474026227 5.9987 
4.202801867911941 -0.07669485914126713 3.0538 -0.08338036439124082 4.0005 -0.08923291468682763 5.9987 
4.2228152101400935 -0.06875493322619051 3.054 -0.07552655050327683 4.0004 -0.08182762136499279 5.9987 
4.242828552368246 -0.06097116086482579 3.0544 -0.06825400978673007 4.0004 -0.07463377508813873 5.9987 
4.262841894596398 -0.053781276535277825 3.0547 -0.06111280005675218 4.0004 -0.06775438647495335 5.9988 
4.28285523682455 -0.04719838862765988 3.0546 -0.05519240334645391 4.0004 -0.060728436209398294 5.999 
4.302868579052702 -0.04163485398880046 3.0547 -0.049971573044220986 4.0003 -0.05439246289731107 5.9989 
4.322881921280854 -0.03658139710414142 3.0554 -0.04470590899976605 4.0003 -0.04923671560533673 5.999 
4.342895263509006 -0.03139539943594251 3.0555 -0.040006616212410834 4.0003 -0.04456840636158859 5.9991 
4.362908605737158 -0.027318064077769152 3.0556 -0.03546338773036216 4.0003 -0.04027883847254551 5.9992 
4.38292194796531 -0.023528259301579674 3.0558 -0.03188901296460145 4.0002 -0.036271680338118915 5.9992 
4.402935290193462 -0.02046539177176663 3.0559 -0.029266077536596602 4.0002 -0.03348208443018737 5.9992 
4.4229486324216145 -0.01788630000785702 3.056 -0.02732679299226513 4.0002 -0.0315140891276366 5.9992 
4.442961974649767 -0.01612106270192113 3.0566 -0.025579582370173905 4.0002 -0.03003635332169182 5.9991 
4.462975316877919 -0.01500836230062684 3.0567 -0.02429621414506954 4.0002 -0.02915012167047517 5.9991 
4.482988659106071 -0.014355483377547117 3.057 -0.023376368154994692 4.0002 -0.028850309641896662 5.9992 
4.503002001334223 -0.014644801414986251 3.0571 -0.02354630439755601 4.0001 -0.029571264673455153 5.9992 
4.523015343562375 -0.015896978703881032 3.0572 -0.0245614097547588 4.0001 -0.030259497683633566 5.9993 
4.543028685790527 -0.018047049863195615 3.0573 -0.026315993350439396 4.0001 -0.03220022010620269 5.9993 
4.563042028018679 -0.020731304243435427 3.0571 -0.02894081346592135 4.0001 -0.03479591174404319 5.9993 
4.583055370246831 -0.02395442628762151 3.0573 -0.03168631313792943 4.0001 -0.03821475200468958 5.9992 
4.603068712474983 -0.02754294232765476 3.0575 -0.03565196970499343 4.0002 -0.04180655922613444 5.9992 
4.6230820547031355 -0.03207256849587144 3.0578 -0.03990115706329967 4.0002 -0.046457833377231764 5.9992 
4.643095396931288 -0.03653168455466618 3.0578 -0.04519502596130371 4.0002 -0.051437211031846244 5.9993 
4.66310873915944 -0.04152645864200206 3.058 -0.051233519264784 4.0002 -0.056480784862808386 5.9993 
4.683122081387592 -0.047508363507627556 3.0583 -0.05741281063670629 4.0002 -0.062475336750065995 5.9993 
4.703135423615744 -0.0544350988641363 3.0584 -0.06400357656665501 4.0002 -0.06893234953547064 5.9993 
4.723148765843896 -0.06208057261047014 3.0587 -0.07090986931136396 4.0002 -0.07602650717708846 5.9993 
4.743162108072048 -0.07022713221470189 3.059 -0.07856067477748802 4.0002 -0.08357909923870444 5.9994 
4.7631754503002 -0.07916351269091829 3.059 -0.0867266330801346 4.0002 -0.0918827716600016 5.9995 
4.783188792528352 -0.08869317734948434 3.0593 -0.0954724176239723 4.0002 -0.10128707271440754 5.9996 
4.803202134756504 -0.09868624156950134 3.0592 -0.10450644960117533 4.0002 -0.1108273491253492 5.9996 
4.8232154769846565 -0.10906454250378529 3.0593 -0.11430380604471907 4.0002 -0.12091340950504723 5.9996 
4.843228819212809 -0.11947101960505715 3.0595 -0.12472167778263452 4.0002 -0.13170360992236832 5.9995 
4.863242161440961 -0.13044574939050355 3.0596 -0.1350848441390921 4.0002 -0.14272876122513475 5.9995 
