t sigma_z_100 sigma_z_1000 sigma_z_10000
14.789859906604402 -0.7284331091612684 -0.6992354319328047 -0.7106076680037154
14.809873248832554 -0.7270590100372314 -0.7003647657697506 -0.7102690920629988
14.829886591060706 -0.7243360764782004 -0.7005874577422292 -0.709561536598725
14.849899933288858 -0.7251708909289841 -0.7004918299783742 -0.7087954679934015
14.86991327551701 -0.7245668897778799 -0.7003588775608544 -0.7077038957751606
14.889926617745163 -0.7227418912685417 -0.7002883083042659 -0.7066560481669724
14.909939959973315 -0.7184536585266301 -0.7002249627977679 -0.7051836399751912
14.929953302201467 -0.7136503270278678 -0.6987490024612605 -0.7036860731704592
14.949966644429619 -0.7099897039849538 -0.6976847460000319 -0.7023759955852931
14.969979986657771 -0.7070032191820743 -0.6967314987264644 -0.7008452777221522
14.989993328885923 -0.7034054257516743 -0.6966492005961848 -0.6989733404487499
15.010006671114075 -0.6960532340182217 -0.6963352726853822 -0.6969842716016921
15.030020013342227 -0.688371000703726 -0.695310506708613 -0.6947307221007806
15.05003335557038 -0.684873425165787 -0.6937103858344676 -0.6924236580589276
15.070046697798531 -0.6806205676168409 -0.6918803902043994 -0.6900404844819567
15.090060040026684 -0.6775359066973998 -0.690058949911388 -0.6875055352758471
15.110073382254836 -0.6758573627850083 -0.6885534006243683 -0.6848128308040909
15.130086724482988 -0.674603103298373 -0.6861587470604179 -0.6823050221029032
15.15010006671114 -0.672524524955015 -0.6836598537487112 -0.6794173783888051
15.170113408939292 -0.6696702584846639 -0.6808195428915064 -0.6763501033187663
15.190126751167444 -0.6649361048522934 -0.6781359439225102 -0.6737942293673356
15.210140093395596 -0.6601158102427671 -0.6745133745333417 -0.6716242711298755
15.230153435623748 -0.6566090984841353 -0.6723417556363134 -0.6688467858512395
15.2501667778519 -0.6503317951994775 -0.6706135435265694 -0.6657916730749849
15.270180120080052 -0.6436001205757824 -0.6671326937371678 -0.6628380151773333
15.290193462308205 -0.640088684932576 -0.6639982791810672 -0.6601482169029624
15.310206804536357 -0.6361345903782364 -0.6608254874577446 -0.6575258576450792
15.330220146764509 -0.6329316177512117 -0.6588827739257754 -0.6549430777498358
15.35023348899266 -0.6320351385079621 -0.6566619680134587 -0.6521650608833461
15.370246831220815 -0.6293501367985683 -0.6541472787838337 -0.6499307177419398
15.390260173448967 -0.625312961714646 -0.6519154712400892 -0.6473382929458795
15.410273515677119 -0.6221694986496195 -0.6499499049748266 -0.6450384201329452
15.430286857905271 -0.6219608249396902 -0.6478781863452348 -0.6427088269170312
15.450300200133423 -0.6173427660396476 -0.6459308344098204 -0.6401243182192257
15.470313542361575 -0.6175525897298839 -0.6433451641184802 -0.6379935568562692
15.490326884589727 -0.6137841130006397 -0.640867204146111 -0.6358981807557664
15.51034022681788 -0.6074327493416092 -0.6387104444890213 -0.6340449733921025
15.530353569046031 -0.6066244959948545 -0.6352546355822198 -0.6323197025802139
15.550366911274184 -0.6045605314892069 -0.6327004914430547 -0.6303754975852197
15.570380253502336 -0.6053005859040421 -0.6304684633455211 -0.6284166391690096
15.590393595730488 -0.6056639725637705 -0.6284656001004832 -0.6266969553900382
15.61040693795864 -0.6025256011456305 -0.6253750583381116 -0.625014384666652
15.630420280186792 -0.5963937671632212 -0.6227353033726639 -0.6234785501243344
15.650433622414944 -0.5925227790274201 -0.6206696652753465 -0.6221014013435274
15.670446964643096 -0.5908338604786388 -0.6190619220315005 -0.6209351002576103
15.690460306871248 -0.5895868863617547 -0.6177488407308958 -0.619925024839551
15.7104736490994 -0.5862032555418314 -0.6167182686585324 -0.6192510421572399
15.730486991327552 -0.5869090778554485 -0.6162819140478034 -0.6185814627842983
15.750500333555705 -0.5923751417435641 -0.6166307872926972 -0.6175749478177294
15.770513675783857 -0.5939471879817333 -0.6164309934189223 -0.6168401122604898
15.790527018012009 -0.5998566339807772 -0.6160718490410941 -0.6161612592269492
15.81054036024016 -0.602647426511279 -0.6164835197746552 -0.6161363634275719
15.830553702468313 -0.6029467242050722 -0.6166051163827952 -0.616501725989489
15.850567044696465 -0.6043871496274653 -0.6158801202870738 -0.6166574320470011
15.870580386924617 -0.6071509810381795 -0.6168170987539726 -0.6170237056695204
15.89059372915277 -0.6098360032220047 -0.617097354226532 -0.6173464586250126
15.910607071380921 -0.6111105934281451 -0.6170742830046009 -0.6177974511251391
15.930620413609073 -0.615217967131326 -0.6186323797814806 -0.618704135028945
15.950633755837226 -0.6174397995072917 -0.6202617941766113 -0.6195642039033062
15.970647098065378 -0.6199781117601421 -0.6206982748973287 -0.6207241957210373
15.99066044029353 -0.6238362061886488 -0.6206371867007661 -0.6222159760080178
16.010673782521682 -0.6323109628822913 -0.6212722312413782 -0.6236395580074532
16.030687124749832 -0.6377734559553193 -0.6217888726966998 -0.62514829592122
16.050700466977986 -0.6417379181495996 -0.6226060202671915 -0.6267913032164776
16.070713809206136 -0.6448629372940108 -0.6240062468592105 -0.6284796415265773
16.09072715143429 -0.6422628760794215 -0.6250040213200253 -0.630134566744601
16.11074049366244 -0.641576587078718 -0.6256432143409851 -0.632455266817822
16.130753835890594 -0.6405238626087598 -0.6266826251702766 -0.6345052331108196
16.150767178118745 -0.6416057238639987 -0.6277555579924576 -0.6369175216146932
16.1707805203469 -0.6414807372325931 -0.6293595919101354 -0.6394152638766313
16.19079386257505 -0.6389103024829466 -0.6309061631751927 -0.6420739890234538
16.210807204803203 -0.6446209059362568 -0.6331318974366654 -0.6444593588847021
16.230820547031353 -0.6473354261109612 -0.6353870066007204 -0.6469665739104296
16.250833889259507 -0.6480675720080691 -0.6383500252688198 -0.6495922518620318
16.270847231487657 -0.6532076800802585 -0.6406381248548301 -0.6520596915327452
16.29086057371581 -0.6572172806348999 -0.643023028878352 -0.6543739888209115
16.31087391594396 -0.6554232670571392 -0.6468435659529648 -0.6570079220111603
16.330887258172115 -0.6555409720894463 -0.65005552490069 -0.6595216788572423
16.350900600400266 -0.6549343069514832 -0.6535320999236481 -0.6624720475183979
16.37091394262842 -0.6561435579299006 -0.6562873261637003 -0.6648270057343661
16.39092728485657 -0.6607584383363998 -0.660532938536696 -0.6673023610144974
16.410940627084724 -0.6670435776854923 -0.663872588629155 -0.6698472461584419
16.430953969312874 -0.6721007425791143 -0.6678283200266834 -0.6724776846666893
16.450967311541028 -0.6745584192466693 -0.6708755779295276 -0.6754191261694902
16.47098065376918 -0.675025468649328 -0.6739738755102708 -0.6774791847311095
16.490993995997332 -0.6757734979370891 -0.6759962630445729 -0.6796618497319552
16.511007338225482 -0.6738816923054154 -0.6791283395103738 -0.682280271687949
16.531020680453636 -0.6764348770916198 -0.681834233678195 -0.6847414668888682
16.551034022681787 -0.6799627446987485 -0.6839851155046022 -0.6869213856424093
16.57104736490994 -0.684253070012238 -0.6861909304555408 -0.6890032205249165
16.59106070713809 -0.6878579390200357 -0.6875734325387293 -0.6912138874985231
16.611074049366245 -0.6875268537253105 -0.6889285243048705 -0.6932122294777441
16.631087391594395 -0.6867029674973943 -0.6905912381542703 -0.6948911014729551
16.65110073382255 -0.6873634981768919 -0.6918743628099053 -0.6968868382060518
16.6711140760507 -0.6874417515967949 -0.6937581978921694 -0.6985796380102324
16.691127418278853 -0.6881304414368529 -0.6946225990582913 -0.7003693163550895
16.711140760507003 -0.6882972924252587 -0.695842759306517 -0.7022279418631512
16.731154102735157 -0.6898359640051313 -0.6965391489587278 -0.7038944482522492
16.751167444963308 -0.695413453494797 -0.6979327847315804 -0.7053942640112258
16.77118078719146 -0.6988825559539094 -0.6994679570962781 -0.7070909106234855
16.791194129419612 -0.7009122615607489 -0.7010792296056214 -0.7089075789866671
16.811207471647766 -0.7018955142277227 -0.7020122965361026 -0.7097605405751487
16.831220813875916 -0.7030570446832175 -0.704275477846428 -0.7107988702061175
16.85123415610407 -0.7034854042927948 -0.7054771135440282 -0.7120762913619613
16.87124749833222 -0.7055232781726423 -0.7057679313851368 -0.7130696064568711
16.891260840560374 -0.7120082920912181 -0.7066755178189673 -0.7138583472160752
16.911274182788524 -0.7153588109692767 -0.7076378335663462 -0.7143228358696011
16.93128752501668 -0.7199849453297503 -0.7080378878441179 -0.7147422962310045
16.95130086724483 -0.7246775841663424 -0.7079179975002636 -0.7149824657981526
16.971314209472983 -0.7267487127927703 -0.7070613728057717 -0.7148393650549973
16.991327551701133 -0.728049170175913 -0.7065215836869293 -0.7144577335467871
17.011340893929287 -0.726029401584573 -0.7058940071622667 -0.7145569268298332
17.031354236157437 -0.7283157790446155 -0.7060911547974765 -0.7145951527494036
17.05136757838559 -0.730049509994929 -0.7064030033169133 -0.7144008655897971
17.07138092061374 -0.7300460958929855 -0.7066701389925855 -0.7139514590900454
17.091394262841895 -0.7294285813028162 -0.707466144966092 -0.7134657229776038
17.111407605070045 -0.7306601292011536 -0.7072428089475488 -0.7128646994521443
17.1314209472982 -0.7321517667588349 -0.7070239095627519 -0.7125121661357036
17.15143428952635 -0.7317627409612936 -0.7057769164485415 -0.7119508689575428
17.171447631754504 -0.7353899588749766 -0.7040342037794981 -0.7107576267758424
17.191460973982654 -0.7356133570720809 -0.702472284323836 -0.7094674930971477
17.211474316210808 -0.7345431928070635 -0.7025115614481738 -0.708527666033079
17.231487658438958 -0.734024564841138 -0.7019237154664432 -0.7069274238599915
17.251501000667112 -0.7365360488864562 -0.7007368996684837 -0.7052691087904177
17.271514342895262 -0.7347644604837916 -0.6994316254835705 -0.703392984498702
17.291527685123416 -0.7368245538462338 -0.6979631384871497 -0.7018785492926126
17.311541027351566 -0.7374084344679994 -0.6968138396209068 -0.700571198136038
17.33155436957972 -0.7348309886725596 -0.6948818269813853 -0.6991255282416843
17.35156771180787 -0.7321479672342173 -0.6924032473817401 -0.6974199739197382
17.371581054036024 -0.73132989212771 -0.6896734822851813 -0.695416284561993
17.391594396264175 -0.7297500717844596 -0.6878747250417329 -0.6930610743610649
17.41160773849233 -0.726874719269961 -0.6854621474149114 -0.6906421882747426
17.43162108072048 -0.7268846134876716 -0.683658117209196 -0.6882281221005386
17.451634422948633 -0.7249249686367867 -0.68226485929924 -0.6861974345458933
17.471647765176783 -0.7248331645770211 -0.6802818011153678 -0.6840415378969323
17.491661107404937 -0.7224126258883936 -0.6790351627499247 -0.6816737975070903
17.511674449633087 -0.7198789842205287 -0.6780333958384877 -0.6791811594486231
17.53168779186124 -0.7144703190526933 -0.6772886614492087 -0.6768679050356963
17.55170113408939 -0.713077607564272 -0.6743986877081181 -0.6745337344984025
17.571714476317545 -0.7143756163664925 -0.6708764221029149 -0.6719370205977748
17.591727818545696 -0.7135060850826924 -0.6690499322867128 -0.6698058204006415
17.61174116077385 -0.7119617887304471 -0.6664856644717958 -0.6678378631658137
17.631754503002 -0.7101122590366415 -0.6648617227982107 -0.6656205990165692
17.651767845230154 -0.7055300165695613 -0.663095696484796 -0.6634771005680985
17.671781187458304 -0.7036045734485161 -0.6615971111806717 -0.6614794070945008
17.691794529686458 -0.700450505426712 -0.6615006877462065 -0.6594047029842992
17.71180787191461 -0.6948449404819869 -0.6602754051051277 -0.6577554596164413
17.731821214142762 -0.6916696260235503 -0.6581908227223446 -0.6555213181752338
17.751834556370913 -0.6873435430692975 -0.6559519334899875 -0.6536468676426924
17.771847898599066 -0.683586024662147 -0.6549772752108549 -0.6521845288581484
17.791861240827217 -0.6784639380802028 -0.6524705514162301 -0.6505800861379852
17.81187458305537 -0.6748037908161624 -0.6522579689471024 -0.6489893422685106
17.83188792528352 -0.6723113965030373 -0.6508578525430657 -0.647587068232441
17.851901267511675 -0.671219301813896 -0.6501928023536584 -0.646084422885135
17.871914609739825 -0.6702253522589063 -0.6484186092013661 -0.6446094790749266
17.89192795196798 -0.6695942392894091 -0.646897992766529 -0.6433489076286216
17.91194129419613 -0.669146885055676 -0.6455134517671938 -0.6423662007345378
17.931954636424283 -0.6701539120933867 -0.6432312483151813 -0.6416928867805293
17.951967978652434 -0.6706720087783721 -0.6424213254665723 -0.6411774963020184
17.971981320880587 -0.6682321058863055 -0.6413122510907776 -0.6405311000871201
17.991994663108738 -0.6674656998412634 -0.6409318892320107 -0.6399076488604691
18.01200800533689 -0.6687621927704993 -0.6401548691389982 -0.6395795209992144
18.032021347565042 -0.6656376436983028 -0.6402148661429035 -0.639149248770917
18.052034689793196 -0.6641810522935774 -0.6397626036594684 -0.6389068928252704
18.072048032021346 -0.6624581223962588 -0.6403773306433509 -0.6388155858132731
18.0920613742495 -0.6615318552795335 -0.6410334561061599 -0.6389135229799325
18.11207471647765 -0.6627561920906687 -0.6410327882671775 -0.6392096836934914
18.132088058705804 -0.6602243913701593 -0.6401679791458834 -0.6391291371405882
18.152101400933955 -0.6600227459620612 -0.6408586139065158 -0.6393445821751311
18.17211474316211 -0.6570958748991867 -0.6422624177017782 -0.6399211456492587
18.19212808539026 -0.6546211404510385 -0.6431979693341414 -0.6408939996617387
18.212141427618413 -0.6500059454826195 -0.6429948679424606 -0.6419056837948585
18.232154769846563 -0.6467613455623564 -0.6432704966312736 -0.6428243430086344
18.252168112074717 -0.6427649282273762 -0.6445217725855152 -0.6440267145820388
18.272181454302867 -0.6444323177704141 -0.6458738006155622 -0.6449483957027475
18.29219479653102 -0.6461726999358376 -0.646769816041925 -0.6461088701358663
18.31220813875917 -0.6466602291403767 -0.6478023898094715 -0.6472167803700296
18.332221480987325 -0.6468414314403546 -0.6486145732935429 -0.6485795043936329
18.352234823215476 -0.6448870144956861 -0.6498010066539869 -0.650086916887899
18.37224816544363 -0.6426270520873494 -0.6515350663152085 -0.6516098095017467
18.39226150767178 -0.639940129955437 -0.6531792724009218 -0.6529819026978768
18.412274849899934 -0.6432669668184525 -0.6541883163809928 -0.6543889749169761
18.432288192128084 -0.6424725189065619 -0.65498537083831 -0.6558592563801604
18.452301534356238 -0.642889126914238 -0.655921109453239 -0.6577536824371919
18.472314876584388 -0.644599998675293 -0.6570504523817765 -0.6597431876780673
18.492328218812542 -0.6482957421707828 -0.6585212465080267 -0.6614723474889458
18.512341561040692 -0.6498296037808113 -0.6600850548308358 -0.6636171699256851
18.532354903268846 -0.6534522604355172 -0.6617223027123885 -0.6655984723673626
18.552368245496996 -0.654174862437616 -0.6640042038118024 -0.6679656466952969
18.57238158772515 -0.6514365091421348 -0.6662609424820709 -0.6702646925236035
18.5923949299533 -0.6510579538840833 -0.668323050216799 -0.6720737188290881
18.612408272181455 -0.6502265826771056 -0.6707573027962069 -0.6738249558421555
18.632421614409605 -0.6545702678654641 -0.6728892733847056 -0.6754938886729672
18.65243495663776 -0.6603762005038206 -0.6743336875889665 -0.6776980879438803
18.67244829886591 -0.6640993895662981 -0.6758162590023336 -0.6800995141708285
18.692461641094063 -0.6654150682053904 -0.6775740612031281 -0.6820882766415243
18.712474983322213 -0.6675432987202212 -0.6789904896417253 -0.6840962355517772
18.732488325550367 -0.666173497005554 -0.6800830083310527 -0.68636380321125
18.752501667778517 -0.6660060135330876 -0.6821122447539988 -0.6886598283871666
18.77251501000667 -0.6677035074723673 -0.6838557789323602 -0.6910675956987548
18.79252835223482 -0.6742475717673486 -0.6849591637613353 -0.6933221893312966
18.812541694462976 -0.6787305703756681 -0.6864589173397716 -0.6955628709709298
18.832555036691126 -0.6817022235484785 -0.6885119886049051 -0.6979893289032352
18.85256837891928 -0.6839548270465844 -0.6902105750252856 -0.7001473885421203
18.87258172114743 -0.6866920334804141 -0.6919773421576869 -0.7022337101697297
18.892595063375584 -0.6894619544377076 -0.6926930636724489 -0.7041950459719662
18.912608405603734 -0.6947230878142915 -0.6927773795815126 -0.7057383821285612
18.932621747831888 -0.6959100483805741 -0.6944580771080212 -0.7074452366040913
18.95263509006004 -0.6967870369963525 -0.6961564000548824 -0.7087115457148078
18.972648432288192 -0.7006559816654558 -0.6982139850532537 -0.7098833266048838
18.992661774516343 -0.7008349648804326 -0.7012563303879379 -0.7108453876543017
19.012675116744497 -0.7015521893679846 -0.7047111556279948 -0.7121599730705729
19.032688458972647 -0.7030431785359417 -0.7069095530141678 -0.7133963107078349
19.0527018012008 -0.7051489815139369 -0.7080258338641734 -0.7146116249865155
19.07271514342895 -0.7045910771576264 -0.7080013742104134 -0.7157717116128273
19.092728485657105 -0.7091007411405945 -0.7088019501279677 -0.7168137333285485
19.112741827885255 -0.7146665598891795 -0.7096592878979745 -0.7175504607943751
19.13275517011341 -0.7170196215916294 -0.7107001199741548 -0.7181448467909811
19.15276851234156 -0.7201500491725645 -0.7121082514336937 -0.7186384437582095
